wavelength,qe,qe_err
300,0.0501,0.0006
301,0.05076,0.0006299999999999999
302,0.05142,0.00066
303,0.05208,0.00069
304,0.05274,0.0007199999999999999
305,0.0534,0.00075
306,0.05406,0.00078
307,0.05472,0.00081
308,0.05538,0.00084
309,0.05604,0.00087
310,0.0567,0.0009
311,0.056,0.00086
312,0.0553,0.00082
313,0.0546,0.00078
314,0.0539,0.00074
315,0.0532,0.0007
316,0.052500000000000005,0.00066
317,0.0518,0.00062
318,0.0511,0.00058
319,0.0504,0.00054
320,0.0497,0.0005
321,0.05063,0.00049
322,0.05156,0.00048
323,0.05249,0.00047000000000000004
324,0.05342,0.00046
325,0.054349999999999996,0.00045
326,0.055279999999999996,0.00044
327,0.056209999999999996,0.00043000000000000004
328,0.057139999999999996,0.00042
329,0.05807,0.00041
330,0.059,0.0004
331,0.06294999999999999,0.0004
332,0.0669,0.0004
333,0.07085,0.0004
334,0.0748,0.0004
335,0.07875,0.0004
336,0.0827,0.0004
337,0.08665,0.0004
338,0.0906,0.0004
339,0.09455,0.0004
340,0.0985,0.0004
341,0.1046,0.00042
342,0.1107,0.00044
343,0.1168,0.00046
344,0.12290000000000001,0.00047999999999999996
345,0.129,0.0005
346,0.1351,0.00052
347,0.1412,0.0005399999999999999
348,0.1473,0.00056
349,0.1534,0.00058
350,0.1595,0.0006
351,0.16789,0.00066
352,0.17628,0.0007199999999999999
353,0.18467,0.0007799999999999999
354,0.19306,0.0008399999999999999
355,0.20145000000000002,0.0009
356,0.20984,0.0009599999999999999
357,0.21823,0.0010199999999999999
358,0.22662,0.0010799999999999998
359,0.23501,0.00114
360,0.2434,0.0012
361,0.25585,0.00124
362,0.2683,0.0012799999999999999
363,0.28075,0.00132
364,0.2932,0.0013599999999999999
365,0.30565,0.0014
366,0.3181,0.0014399999999999999
367,0.33055,0.00148
368,0.34299999999999997,0.00152
369,0.35545,0.00156
370,0.3679,0.0016
371,0.38141,0.0016200000000000001
372,0.39492,0.00164
373,0.40843,0.00166
374,0.42194,0.00168
375,0.43545,0.0017000000000000001
376,0.44896,0.00172
377,0.46247,0.00174
378,0.47598,0.00176
379,0.48949,0.00178
380,0.503,0.0018
381,0.51384,0.00189
382,0.52468,0.00198
383,0.53552,0.00207
384,0.5463600000000001,0.00216
385,0.5572,0.0022500000000000003
386,0.5680400000000001,0.00234
387,0.5788800000000001,0.00243
388,0.58972,0.00252
389,0.6005600000000001,0.0026100000000000003
390,0.6114,0.0027
391,0.61911,0.0027500000000000003
392,0.62682,0.0028
393,0.63453,0.00285
394,0.64224,0.0029000000000000002
395,0.64995,0.0029500000000000004
396,0.65766,0.003
397,0.66537,0.00305
398,0.67308,0.0031000000000000003
399,0.68079,0.00315
400,0.6885,0.0032
401,0.69416,0.0032300000000000002
402,0.69982,0.0032600000000000003
403,0.70548,0.00329
404,0.71114,0.00332
405,0.7168,0.00335
406,0.72246,0.00338
407,0.72812,0.0034100000000000003
408,0.73378,0.00344
409,0.73944,0.00347
410,0.7451,0.0035
411,0.75185,0.00354
412,0.7585999999999999,0.00358
413,0.76535,0.00362
414,0.7721,0.00366
415,0.77885,0.0037
416,0.7856,0.00374
417,0.79235,0.00378
418,0.7991,0.00382
419,0.80585,0.0038599999999999997
420,0.8126,0.0039
421,0.81694,0.00392
422,0.82128,0.00394
423,0.82562,0.00396
424,0.82996,0.00398
425,0.8343,0.004
426,0.8386399999999999,0.00402
427,0.84298,0.00404
428,0.84732,0.00406
429,0.85166,0.00408
430,0.856,0.0041
431,0.8593999999999999,0.00425
432,0.8628,0.0044
433,0.8662,0.00455
434,0.8696,0.0047
435,0.873,0.00485
436,0.8764,0.005
437,0.8798,0.00515
438,0.8832,0.0053
439,0.8866,0.00545
440,0.89,0.0056
441,0.89218,0.00548
442,0.89436,0.00536
443,0.89654,0.00524
444,0.8987200000000001,0.00512
445,0.9009,0.005
446,0.90308,0.004880000000000001
447,0.9052600000000001,0.00476
448,0.90744,0.00464
449,0.9096200000000001,0.004520000000000001
450,0.9118,0.0044
451,0.91337,0.004540000000000001
452,0.9149400000000001,0.00468
453,0.91651,0.00482
454,0.91808,0.00496
455,0.9196500000000001,0.0051
456,0.92122,0.00524
457,0.92279,0.005379999999999999
458,0.92436,0.00552
459,0.92593,0.00566
460,0.9275,0.0058
461,0.92677,0.00571
462,0.92604,0.00562
463,0.92531,0.005529999999999999
464,0.92458,0.0054399999999999995
465,0.9238500000000001,0.00535
466,0.92312,0.00526
467,0.92239,0.00517
468,0.92166,0.0050799999999999994
469,0.92093,0.00499
470,0.9202,0.0049
471,0.92247,0.00504
472,0.92474,0.00518
473,0.92701,0.00532
474,0.92928,0.00546
475,0.93155,0.0056
476,0.93382,0.00574
477,0.93609,0.00588
478,0.93836,0.00602
479,0.94063,0.00616
480,0.9429,0.0063
481,0.94273,0.00628
482,0.94256,0.00626
483,0.94239,0.00624
484,0.94222,0.00622
485,0.94205,0.006200000000000001
486,0.94188,0.006180000000000001
487,0.94171,0.0061600000000000005
488,0.94154,0.0061400000000000005
489,0.94137,0.0061200000000000004
490,0.9412,0.0061
491,0.93925,0.006030000000000001
492,0.9373,0.00596
493,0.93535,0.00589
494,0.9334,0.0058200000000000005
495,0.93145,0.00575
496,0.9295,0.00568
497,0.92755,0.00561
498,0.9256,0.005540000000000001
499,0.92365,0.00547
500,0.9217,0.0054
501,0.9208999999999999,0.00553
502,0.9200999999999999,0.00566
503,0.9193,0.00579
504,0.9185,0.00592
505,0.9177,0.00605
506,0.9168999999999999,0.00618
507,0.9160999999999999,0.0063100000000000005
508,0.9153,0.00644
509,0.9145,0.00657
510,0.9137,0.0067
511,0.9114,0.0066300000000000005
512,0.9091,0.00656
513,0.9067999999999999,0.00649
514,0.9045,0.00642
515,0.9022,0.00635
516,0.8999,0.00628
517,0.8976000000000001,0.00621
518,0.8953,0.0061400000000000005
519,0.893,0.00607
520,0.8907,0.006
521,0.88885,0.00596
522,0.887,0.00592
523,0.88515,0.00588
524,0.8833,0.00584
525,0.8814500000000001,0.0058
526,0.8796,0.00576
527,0.87775,0.00572
528,0.8759,0.00568
529,0.87405,0.00564
530,0.8722,0.0056
531,0.8698899999999999,0.00573
532,0.86758,0.00586
533,0.86527,0.00599
534,0.86296,0.00612
535,0.8606499999999999,0.00625
536,0.85834,0.00638
537,0.85603,0.00651
538,0.8537199999999999,0.00664
539,0.85141,0.00677
540,0.8491,0.0069
541,0.8466699999999999,0.00681
542,0.84424,0.00672
543,0.84181,0.00663
544,0.83938,0.00654
545,0.83695,0.00645
546,0.8345199999999999,0.00636
547,0.83209,0.00627
548,0.82966,0.00618
549,0.82723,0.00609
550,0.8248,0.006
551,0.82267,0.00609
552,0.8205399999999999,0.00618
553,0.81841,0.00627
554,0.81628,0.00636
555,0.8141499999999999,0.00645
556,0.81202,0.00654
557,0.80989,0.00663
558,0.80776,0.00672
559,0.80563,0.00681
560,0.8035,0.0069
561,0.80079,0.00686
562,0.79808,0.00682
563,0.79537,0.00678
564,0.79266,0.0067399999999999995
565,0.7899499999999999,0.006699999999999999
566,0.7872399999999999,0.00666
567,0.78453,0.00662
568,0.78182,0.00658
569,0.77911,0.00654
570,0.7764,0.0065
571,0.77372,0.006529999999999999
572,0.77104,0.00656
573,0.76836,0.0065899999999999995
574,0.76568,0.00662
575,0.763,0.00665
576,0.76032,0.006679999999999999
577,0.75764,0.00671
578,0.7549600000000001,0.0067399999999999995
579,0.7522800000000001,0.00677
580,0.7496,0.0068
581,0.7469800000000001,0.006829999999999999
582,0.74436,0.00686
583,0.7417400000000001,0.00689
584,0.73912,0.00692
585,0.7365,0.00695
586,0.7338800000000001,0.00698
587,0.73126,0.007010000000000001
588,0.7286400000000001,0.00704
589,0.72602,0.00707
590,0.7234,0.0071
591,0.72028,0.00711
592,0.71716,0.0071200000000000005
593,0.71404,0.00713
594,0.71092,0.0071400000000000005
595,0.7078,0.00715
596,0.7046800000000001,0.00716
597,0.7015600000000001,0.00717
598,0.6984400000000001,0.00718
599,0.69532,0.00719
600,0.6922,0.0072
601,0.6890700000000001,0.00728
602,0.68594,0.00736
603,0.68281,0.0074399999999999996
604,0.6796800000000001,0.00752
605,0.67655,0.0076
606,0.67342,0.00768
607,0.67029,0.00776
608,0.6671600000000001,0.00784
609,0.66403,0.00792
610,0.6609,0.008
611,0.65844,0.00786
612,0.65598,0.00772
613,0.65352,0.00758
614,0.65106,0.00744
615,0.6486000000000001,0.0073
616,0.64614,0.00716
617,0.64368,0.00702
618,0.64122,0.00688
619,0.63876,0.00674
620,0.6363,0.0066
621,0.6343099999999999,0.00659
622,0.63232,0.00658
623,0.63033,0.0065699999999999995
624,0.62834,0.00656
625,0.62635,0.00655
626,0.6243599999999999,0.00654
627,0.62237,0.006529999999999999
628,0.6203799999999999,0.00652
629,0.61839,0.00651
630,0.6164,0.0065
631,0.6126199999999999,0.006529999999999999
632,0.6088399999999999,0.00656
633,0.6050599999999999,0.0065899999999999995
634,0.6012799999999999,0.00662
635,0.5974999999999999,0.00665
636,0.59372,0.006679999999999999
637,0.58994,0.00671
638,0.58616,0.0067399999999999995
639,0.58238,0.00677
640,0.5786,0.0068
641,0.57662,0.0068
642,0.57464,0.0068
643,0.57266,0.0068
644,0.57068,0.0068
645,0.5687,0.0068
646,0.56672,0.0068
647,0.56474,0.0068
648,0.5627599999999999,0.0068
649,0.56078,0.0068
650,0.5588,0.0068
651,0.5559499999999999,0.00677
652,0.5530999999999999,0.0067399999999999995
653,0.55025,0.00671
654,0.5474,0.006679999999999999
655,0.54455,0.00665
656,0.5417,0.00662
657,0.5388499999999999,0.0065899999999999995
658,0.536,0.00656
659,0.53315,0.006529999999999999
660,0.5303,0.0065
661,0.527,0.00645
662,0.5237,0.0063999999999999994
663,0.5204,0.00635
664,0.5171,0.0063
665,0.5138,0.00625
666,0.5105,0.0062
667,0.5072,0.00615
668,0.5039,0.0061
669,0.5006,0.00605
670,0.4973,0.006
671,0.49574,0.00592
672,0.49418,0.00584
673,0.49262,0.00576
674,0.49106,0.00568
675,0.48950000000000005,0.0056
676,0.48794000000000004,0.00552
677,0.48638000000000003,0.0054399999999999995
678,0.48482000000000003,0.00536
679,0.48326,0.00528
680,0.4817,0.0052
681,0.4783,0.00514
682,0.4749,0.0050799999999999994
683,0.47150000000000003,0.00502
684,0.4681,0.00496
685,0.4647,0.0049
686,0.4613,0.00484
687,0.4579,0.0047799999999999995
688,0.4545,0.00472
689,0.4511,0.00466
690,0.4477,0.0046
691,0.44550999999999996,0.0046099999999999995
692,0.44332,0.00462
693,0.44113,0.0046300000000000004
694,0.43894,0.00464
695,0.43674999999999997,0.00465
696,0.43456,0.00466
697,0.43237000000000003,0.0046700000000000005
698,0.43018,0.00468
699,0.42799,0.00469
700,0.4258,0.0047
701,0.42336,0.00462
702,0.42092,0.00454
703,0.41848,0.00446
704,0.41604,0.00438
705,0.41359999999999997,0.0043
706,0.41115999999999997,0.00422
707,0.40871999999999997,0.00414
708,0.40628,0.00406
709,0.40384,0.00398
710,0.4014,0.0039
711,0.39805999999999997,0.00392
712,0.39471999999999996,0.00394
713,0.39138,0.00396
714,0.38804,0.00398
715,0.3847,0.004
716,0.38136,0.00402
717,0.37801999999999997,0.00404
718,0.37468,0.00406
719,0.37134,0.00408
720,0.368,0.0041
721,0.36656,0.00415
722,0.36512,0.004200000000000001
723,0.36368,0.00425
724,0.36224,0.0043
725,0.3608,0.00435
726,0.35936,0.0044
727,0.35792,0.00445
728,0.35648,0.0045
729,0.35504,0.00455
730,0.3536,0.0046
731,0.35044000000000003,0.00462
732,0.34728000000000003,0.00464
733,0.34412000000000004,0.00466
734,0.34096000000000004,0.00468
735,0.3378,0.004699999999999999
736,0.33464,0.004719999999999999
737,0.33148,0.004739999999999999
738,0.32832,0.0047599999999999995
739,0.32516,0.0047799999999999995
740,0.322,0.0048
741,0.32076,0.004739999999999999
742,0.31952,0.004679999999999999
743,0.31828,0.00462
744,0.31704,0.00456
745,0.31579999999999997,0.0045
746,0.31456,0.0044399999999999995
747,0.31332,0.004379999999999999
748,0.31207999999999997,0.00432
749,0.31084,0.00426
750,0.3096,0.0042
751,0.3074,0.00416
752,0.30519999999999997,0.0041199999999999995
753,0.303,0.004079999999999999
754,0.3008,0.00404
755,0.2986,0.004
756,0.2964,0.00396
757,0.2942,0.00392
758,0.29200000000000004,0.0038799999999999998
759,0.2898,0.00384
760,0.2876,0.0038
761,0.28573000000000004,0.00381
762,0.28386,0.00382
763,0.28199,0.00383
764,0.28012,0.00384
765,0.27825,0.00385
766,0.27638,0.0038599999999999997
767,0.27451,0.0038699999999999997
768,0.27264,0.0038799999999999998
769,0.27076999999999996,0.00389
770,0.2689,0.0039
771,0.26761999999999997,0.0038799999999999998
772,0.26633999999999997,0.0038599999999999997
773,0.26505999999999996,0.00384
774,0.26377999999999996,0.00382
775,0.26249999999999996,0.0038
776,0.26122,0.00378
777,0.25994,0.00376
778,0.25866,0.0037400000000000003
779,0.25738,0.00372
780,0.2561,0.0037
781,0.25448,0.00372
782,0.25286,0.0037400000000000003
783,0.25124,0.00376
784,0.24962,0.00378
785,0.248,0.0038
786,0.24638,0.00382
787,0.24476,0.00384
788,0.24314,0.0038599999999999997
789,0.24152,0.0038799999999999998
790,0.2399,0.0039
791,0.23806,0.0038
792,0.23622,0.0036999999999999997
793,0.23438,0.0036
794,0.23254,0.0034999999999999996
795,0.23070000000000002,0.0034
796,0.22886,0.0033
797,0.22702,0.0031999999999999997
798,0.22518,0.0031
799,0.22334,0.0029999999999999996
800,0.2215,0.0029
801,0.22067,0.00293
802,0.21984,0.00296
803,0.21901,0.00299
804,0.21818,0.00302
805,0.21735,0.0030499999999999998
806,0.21652,0.00308
807,0.21569,0.00311
808,0.21486,0.00314
809,0.21403,0.00317
810,0.2132,0.0032
811,0.2127,0.00319
812,0.2122,0.00318
813,0.2117,0.00317
814,0.2112,0.00316
815,0.2107,0.00315
816,0.2102,0.00314
817,0.2097,0.00313
818,0.2092,0.00312
819,0.2087,0.00311
820,0.2082,0.0031
821,0.20459,0.00302
822,0.20098,0.00294
823,0.19737,0.0028599999999999997
824,0.19376,0.00278
825,0.19014999999999999,0.0027
826,0.18653999999999998,0.00262
827,0.18293,0.0025399999999999997
828,0.17932,0.00246
829,0.17571,0.00238
830,0.1721,0.0023
831,0.17379,0.00243
832,0.17548,0.0025599999999999998
833,0.17717,0.0026899999999999997
834,0.17886,0.00282
835,0.18055,0.00295
836,0.18224,0.00308
837,0.18393,0.0032099999999999997
838,0.18562,0.00334
839,0.18731,0.00347
840,0.189,0.0036
841,0.18661,0.00358
842,0.18422,0.00356
843,0.18183,0.0035399999999999997
844,0.17944,0.0035199999999999997
845,0.17704999999999999,0.0034999999999999996
846,0.17466,0.00348
847,0.17227,0.00346
848,0.16988,0.00344
849,0.16749,0.00342
850,0.1651,0.0034
851,0.16293,0.0033
852,0.16076,0.0031999999999999997
853,0.15859,0.0031
854,0.15642,0.0029999999999999996
855,0.15425,0.0029
856,0.15208,0.0027999999999999995
857,0.14991,0.0026999999999999997
858,0.14774,0.0026
859,0.14557,0.0024999999999999996
860,0.1434,0.0024
861,0.14342,0.0023799999999999997
862,0.14344,0.0023599999999999997
863,0.14346,0.00234
864,0.14348,0.00232
865,0.14350000000000002,0.0023
866,0.14352,0.00228
867,0.14354,0.00226
868,0.14356,0.0022400000000000002
869,0.14358,0.00222
870,0.1436,0.0022
871,0.1429,0.0022
872,0.1422,0.0022
873,0.14150000000000001,0.0022
874,0.1408,0.0022
875,0.1401,0.0022
876,0.1394,0.0022
877,0.1387,0.0022
878,0.138,0.0022
879,0.1373,0.0022
880,0.1366,0.0022
881,0.1336,0.00215
882,0.1306,0.0021000000000000003
883,0.1276,0.00205
884,0.1246,0.002
885,0.1216,0.00195
886,0.1186,0.0019
887,0.1156,0.00185
888,0.1126,0.0018
889,0.1096,0.0017499999999999998
890,0.1066,0.0017
891,0.10629,0.0016899999999999999
892,0.10598,0.0016799999999999999
893,0.10567,0.00167
894,0.10536,0.00166
895,0.10505,0.00165
896,0.10474,0.00164
897,0.10443,0.00163
898,0.10411999999999999,0.0016200000000000001
899,0.10381,0.00161
900,0.1035,0.0016
901,0.10324,0.00158
902,0.10298,0.00156
903,0.10271999999999999,0.0015400000000000001
904,0.10246,0.00152
905,0.1022,0.0015
906,0.10194,0.00148
907,0.10168,0.00146
908,0.10142,0.00144
909,0.10116,0.00142
910,0.1009,0.0014
911,0.09914,0.00138
912,0.09738000000000001,0.0013599999999999999
913,0.09562,0.00134
914,0.09386,0.00132
915,0.0921,0.0013
916,0.09034,0.0012799999999999999
917,0.08858,0.0012599999999999998
918,0.08682,0.00124
919,0.08506,0.00122
920,0.0833,0.0012
921,0.082755,0.0011949999999999999
922,0.08221,0.0011899999999999999
923,0.081665,0.0011849999999999999
924,0.08112,0.0011799999999999998
925,0.08057500000000001,0.0011749999999999998
926,0.08003,0.00117
927,0.079485,0.001165
928,0.07894,0.00116
929,0.078395,0.001155
930,0.07785,0.00115
931,0.077305,0.001145
932,0.07676000000000001,0.00114
933,0.076215,0.001135
934,0.07567,0.00113
935,0.075125,0.0011250000000000001
936,0.07458000000000001,0.0011200000000000001
937,0.074035,0.001115
938,0.07349,0.00111
939,0.07294500000000001,0.001105
940,0.0724,0.0011
941,0.071345,0.00108
942,0.07029,0.00106
943,0.069235,0.0010400000000000001
944,0.06818,0.00102
945,0.067125,0.001
946,0.06607,0.00098
947,0.065015,0.00096
948,0.06396,0.0009400000000000001
949,0.062905,0.00092
950,0.06185,0.0009
951,0.060795,0.00088
952,0.05974,0.00086
953,0.058685,0.00084
954,0.05763,0.00082
955,0.056575,0.0007999999999999999
956,0.05552,0.00078
957,0.054465,0.00076
958,0.05341,0.00074
959,0.052355,0.0007199999999999999
960,0.0513,0.0007
961,0.050824999999999995,0.000695
962,0.05035,0.00069
963,0.049874999999999996,0.000685
964,0.0494,0.0006799999999999999
965,0.048924999999999996,0.000675
966,0.04845,0.00067
967,0.047975,0.000665
968,0.0475,0.00066
969,0.047025,0.000655
970,0.046549999999999994,0.00065
971,0.046075,0.000645
972,0.0456,0.0006399999999999999
973,0.045125,0.0006349999999999999
974,0.044649999999999995,0.0006299999999999999
975,0.044175,0.0006249999999999999
976,0.043699999999999996,0.00062
977,0.043225,0.000615
978,0.042749999999999996,0.00061
979,0.04227499999999999,0.000605
980,0.0418,0.0006
981,0.041229999999999996,0.0005899999999999999
982,0.040659999999999995,0.00058
983,0.04009,0.00057
984,0.03952,0.00056
985,0.03895,0.0005499999999999999
986,0.03838,0.00054
987,0.037809999999999996,0.00053
988,0.037239999999999995,0.00052
989,0.036669999999999994,0.00051
990,0.0361,0.0005
991,0.03553,0.00049
992,0.03496,0.00048
993,0.03439,0.00047000000000000004
994,0.03382,0.00046
995,0.03325,0.00045
996,0.03268,0.00044
997,0.03211,0.00043000000000000004
998,0.03154,0.00042
999,0.030969999999999998,0.00041
1000,0.0304,0.0004
1001,0.0304,0.0004
1002,0.0304,0.0004
1003,0.0304,0.0004
1004,0.0304,0.0004
1005,0.0304,0.0004
1006,0.0304,0.0004
1007,0.0304,0.0004
1008,0.0304,0.0004
1009,0.0304,0.0004
1010,0.0304,0.0004
1011,0.0304,0.0004
1012,0.0304,0.0004
1013,0.0304,0.0004
1014,0.0304,0.0004
1015,0.0304,0.0004
1016,0.0304,0.0004
1017,0.0304,0.0004
1018,0.0304,0.0004
1019,0.0304,0.0004
1020,0.0304,0.0004
1021,0.0304,0.0004
1022,0.0304,0.0004
1023,0.0304,0.0004
1024,0.0304,0.0004
1025,0.0304,0.0004
1026,0.0304,0.0004
1027,0.0304,0.0004
1028,0.0304,0.0004
1029,0.0304,0.0004
1030,0.0304,0.0004
1031,0.0304,0.0004
1032,0.0304,0.0004
1033,0.0304,0.0004
1034,0.0304,0.0004
1035,0.0304,0.0004
1036,0.0304,0.0004
1037,0.0304,0.0004
1038,0.0304,0.0004
1039,0.0304,0.0004
1040,0.0304,0.0004
1041,0.0304,0.0004
1042,0.0304,0.0004
1043,0.0304,0.0004
1044,0.0304,0.0004
1045,0.0304,0.0004
1046,0.0304,0.0004
1047,0.0304,0.0004
1048,0.0304,0.0004
1049,0.0304,0.0004
1050,0.0304,0.0004
1051,0.0304,0.0004
1052,0.0304,0.0004
1053,0.0304,0.0004
1054,0.0304,0.0004
1055,0.0304,0.0004
1056,0.0304,0.0004
1057,0.0304,0.0004
1058,0.0304,0.0004
1059,0.0304,0.0004
1060,0.0304,0.0004
1061,0.0304,0.0004
1062,0.0304,0.0004
1063,0.0304,0.0004
1064,0.0304,0.0004
1065,0.0304,0.0004
1066,0.0304,0.0004
1067,0.0304,0.0004
1068,0.0304,0.0004
1069,0.0304,0.0004
1070,0.0304,0.0004
1071,0.0304,0.0004
1072,0.0304,0.0004
1073,0.0304,0.0004
1074,0.0304,0.0004
1075,0.0304,0.0004
1076,0.0304,0.0004
1077,0.0304,0.0004
1078,0.0304,0.0004
1079,0.0304,0.0004
1080,0.0304,0.0004
1081,0.0304,0.0004
1082,0.0304,0.0004
1083,0.0304,0.0004
1084,0.0304,0.0004
1085,0.0304,0.0004
1086,0.0304,0.0004
1087,0.0304,0.0004
1088,0.0304,0.0004
1089,0.0304,0.0004
1090,0.0304,0.0004
1091,0.0304,0.0004
1092,0.0304,0.0004
1093,0.0304,0.0004
1094,0.0304,0.0004
1095,0.0304,0.0004
1096,0.0304,0.0004
1097,0.0304,0.0004
1098,0.0304,0.0004
1099,0.0304,0.0004
1100,0.0304,0.0004
